Smiles,Source
C1Cc2cc(ccc2CO1)c3cnc[nH]3,Enamine
C1CC2OC1CC2c3cnc[nH]3,Enamine
CCc1cccc(c1)c2cnc[nH]2,Enamine
Cc1oc(nc1C)c2cnc[nH]2,Enamine
CN(C)c1ncc(s1)c2cnc[nH]2,Enamine
C#Cc1cccc(c1)c2cnc[nH]2,Enamine
COC(=O)c1sccc1c2cnc[nH]2,Enamine
Cc1ncsc1C2(C)CO2,Enamine
Cc1ncsc1C(C)(C)C#C,Enamine
CC(C#C)c1scnc1C,Enamine
N#Cc1csc(c1)c2cnc[nH]2,Enamine
CC(C)(C)n1nnc(n1)c2cnc[nH]2,Enamine
C1CN(CCO1)c2ccccc2c3cnc[nH]3,Enamine
Cc1ncncc1c2cnc[nH]2,Enamine
CC(C)c1cccc(c1)c2cnc[nH]2,Enamine
CC(=O)Cc1scnc1C,Enamine
C1CCN(C1)c2ccccc2c3cnc[nH]3,Enamine
COCc1nc(cs1)c2cnc[nH]2,Enamine
CN(C)c1ccccc1c2cnc[nH]2,Enamine
CC1Cc2cc(ccc2O1)c3cnc[nH]3,Enamine
CC(C)(C)c1ccccc1c2cnc[nH]2,Enamine
c1cnc2cc(ccc2c1)c3cnc[nH]3,Enamine
COc1cc(cc(C)n1)c2cnc[nH]2,Enamine
COc1cc(C)c(F)cc1c2cnc[nH]2,Enamine
Fc1cncc(F)c1c2cnc[nH]2,Enamine
CN(C)c1ccc(cn1)c2cnc[nH]2,Enamine
COc1ncc(s1)c2cnc[nH]2,Enamine
CN(C)c1ccc(cc1F)c2cnc[nH]2,Enamine
Cc1nc2sccn2c1c3cnc[nH]3,Enamine
Cc1cc(F)c(cc1F)c2cnc[nH]2,Enamine
CCC=Cc1cnc[nH]1,Enamine
COc1cccc(c1C)c2cnc[nH]2,Enamine
c1cnn(c1)c2ccc(cc2)c3cnc[nH]3,Enamine
CC(C)(C)c1cccc(c1)c2cnc[nH]2,Enamine
c1ncc(s1)c2cn[nH]c2,Enamine
c1ncc([nH]1)c2cncs2,Enamine
COc1ccc(cc1CN(C)C)c2cnc[nH]2,Enamine
CC(C)(C#C)c1cncs1,Enamine
COc1ccc(c(C)c1)c2cnc[nH]2,Enamine
Cc1nn(C)cc1c2cnc[nH]2,Enamine
Fc1ccc(c(F)c1F)c2cnc[nH]2,Enamine
Cc1ccc(F)c(c1)c2cnc[nH]2,Enamine
c1ccc(c(c1)c2cnc[nH]2)n3cccn3,Enamine
C1CCc2c(C1)scc2c3cnc[nH]3,Enamine
Cc1ncsc1CCCS,Enamine
Cc1ncsc1c2cn[nH]c2,Enamine
Cc1ncsc1c2cnc[nH]2,Enamine
Cc1ncsc1CCC#C,Enamine
COc1cccnc1c2cnc[nH]2,Enamine
CCOc1cccc(c1)c2cnc[nH]2,Enamine
COc1cc(F)cc(F)c1c2cnc[nH]2,Enamine
